DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
2020-05-28 06:15:51+00:00,1265889504977735682,"Динамика распространения коронавируса за прошедшие сутки — в нашей инфографике.

#coronavirus #коронавирус #ТАССтатистика_коронавирус https://t.co/ZfHUKHT0v5",tass_agency,ru,"['coronavirus', 'коронавирус', 'ТАССтатистика_коронавирус']",11,3,1,1,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFXyhEXYAE-CD8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFXyhEXYAE-CD8?format=jpg&name=orig', altText=None)]"
2020-05-28 06:15:11+00:00,1265889338245681153,"Мир, в котором мы жили еще вчера, отнял коронавирус. Каким будет новый мир? https://t.co/nDAQQPyZR1",sbbytoday,ru,,0,0,0,0,
2020-05-28 06:15:09+00:00,1265889325809623043,#Новости Грузии | У большей части дальнобойщиков в Поти коронавирус не подтвердился https://t.co/tKWAUYzOgW,sololaki1,ru,['Новости'],0,0,0,0,
2020-05-28 06:15:03+00:00,1265889302619324416,В Сургуте из больницы сбежал пациент с подозрением на коронавирус https://t.co/63vVbz6Kt0,surgutinformtv,ru,,0,0,0,0,
2020-05-28 06:14:29+00:00,1265889159258013698,"Да почему этот блядский коронавирус выпал именно на год выпуска?! Ни годом раньше, ни годом позже, а именно сейчас",Ayriis_,ru,,0,0,2,0,
2020-05-28 06:14:25+00:00,1265889141839011840,Коронавирус пришёл в администрацию Калининграда https://t.co/8BrlTIqIyl,ernest_mirov,ru,,0,0,0,0,
2020-05-28 06:13:37+00:00,1265888943259746304,"АҚШда коронавирус қурбонлари сони 100 мингдан ошди 

👉 https://t.co/FFTcjkkjHR https://t.co/H5WpPcshNU",tarjumonuznews,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFXSIiXsAMN92T?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFXSIiXsAMN92T?format=jpg&name=orig', altText=None)]"
2020-05-28 06:13:27+00:00,1265888901803245570,"Медики обследуют на коронавирус 2 273 рязанца

Зарегистрировано 3206 случаев заболевания коронавирусной инфекцией.                               #rzninfo #ryazan #рязань #новостирязани https://t.co/n7vA4SPE9l https://t.co/ggyRNNCYJv",rzninfo,ru,"['rzninfo', 'ryazan', 'рязань', 'новостирязани']",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFXP0VWoAARCg8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFXP0VWoAARCg8?format=jpg&name=orig', altText=None)]"
2020-05-28 06:13:09+00:00,1265888825416601600,4. КОРОНАВИРУС И КАРАНТИН - ЗАГОВОР ЭЛИТ ИЛИ ПЛАНЫ БОГА? - отвечаю на во... https://t.co/uzIxLs2X28 с помощью @YouTube,Ananda_Shakti_,ru,,0,0,0,0,
2020-05-28 06:13:03+00:00,1265888800796008449,"Коронавирус – вызов, с которым столкнулся мир: все новости https://t.co/iaXMzOiaCX https://t.co/AWKu0Dc9R0",IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFXJ5AWsAUpJFS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFXJ5AWsAUpJFS?format=jpg&name=orig', altText=None)]"
2020-05-28 06:12:34+00:00,1265888679459000322,Аксёнов попросил не вводить тесты на коронавирус для туристов в Крыму: Яндекс.Новости Кого он попросил?Он разве там не хозяин?https://t.co/buIHPbb6yg,ludmela58,ru,,2,1,2,0,
2020-05-28 06:11:20+00:00,1265888365976719362,"Во Франции запретили лечить коронавирус гидроксихлорохином.
#новости #Франция #коронавирус #гидроксихлорихин
https://t.co/d0H9TW6pIv",Mir24TV,ru,"['новости', 'Франция', 'коронавирус', 'гидроксихлорихин']",0,0,0,0,
